region_1	region_2	n_pairs	RR	replicate_id
Senegal	Senegal	20	1	1
Senegal	Senegal	12	1	2
Senegal	Senegal	8	1	3
Senegal	Senegal	12	1	4
Senegal	Senegal	18	1	5
Senegal	Senegal	16	1	6
Senegal	Senegal	16	1	7
Senegal	Senegal	8	1	8
Senegal	Senegal	16	1	9
Senegal	Senegal	10	1	10
Senegal	Senegal	12	1	11
Senegal	Senegal	14	1	12
Senegal	Senegal	12	1	13
Senegal	Senegal	12	1	14
Senegal	Senegal	16	1	15
Senegal	Senegal	12	1	16
Senegal	Senegal	16	1	17
Senegal	Senegal	12	1	18
Senegal	Senegal	12	1	19
Senegal	Senegal	18	1	20
Senegal	Senegal	18	1	21
Senegal	Senegal	12	1	22
Senegal	Senegal	14	1	23
Senegal	Senegal	12	1	24
Senegal	Senegal	12	1	25
Senegal	Senegal	16	1	26
Senegal	Senegal	20	1	27
Senegal	Senegal	12	1	28
Senegal	Senegal	18	1	29
Senegal	Senegal	16	1	30
Senegal	Senegal	16	1	31
Senegal	Senegal	14	1	32
Senegal	Senegal	6	1	33
Senegal	Senegal	14	1	34
Senegal	Senegal	16	1	35
Senegal	Senegal	12	1	36
Senegal	Senegal	12	1	37
Senegal	Senegal	16	1	38
Senegal	Senegal	20	1	39
Senegal	Senegal	12	1	40
Senegal	Senegal	12	1	41
Senegal	Senegal	10	1	42
Senegal	Senegal	14	1	43
Senegal	Senegal	8	1	44
Senegal	Senegal	16	1	45
Senegal	Senegal	10	1	46
Senegal	Senegal	18	1	47
Senegal	Senegal	16	1	48
Senegal	Senegal	8	1	49
Senegal	Senegal	8	1	50
Senegal	Senegal	14	1	51
Senegal	Senegal	8	1	52
Senegal	Senegal	14	1	53
Senegal	Senegal	12	1	54
Senegal	Senegal	18	1	55
Senegal	Senegal	6	1	56
Senegal	Senegal	10	1	57
Senegal	Senegal	18	1	58
Senegal	Senegal	14	1	59
Senegal	Senegal	2	1	60
Senegal	Senegal	10	1	61
Senegal	Senegal	12	1	62
Senegal	Senegal	16	1	63
Senegal	Senegal	14	1	64
Senegal	Senegal	12	1	65
Senegal	Senegal	16	1	66
Senegal	Senegal	10	1	67
Senegal	Senegal	6	1	68
Senegal	Senegal	8	1	69
Senegal	Senegal	12	1	70
Senegal	Senegal	16	1	71
Senegal	Senegal	12	1	72
Senegal	Senegal	8	1	73
Senegal	Senegal	20	1	74
Senegal	Senegal	14	1	75
Senegal	Senegal	10	1	76
Senegal	Senegal	8	1	77
Senegal	Senegal	8	1	78
Senegal	Senegal	10	1	79
Senegal	Senegal	6	1	80
Senegal	Senegal	12	1	81
Senegal	Senegal	16	1	82
Senegal	Senegal	16	1	83
Senegal	Senegal	20	1	84
Senegal	Senegal	16	1	85
Senegal	Senegal	4	1	86
Senegal	Senegal	16	1	87
Senegal	Senegal	16	1	88
Senegal	Senegal	12	1	89
Senegal	Senegal	10	1	90
Senegal	Senegal	14	1	91
Senegal	Senegal	16	1	92
Senegal	Senegal	14	1	93
Senegal	Senegal	16	1	94
Senegal	Senegal	10	1	95
Senegal	Senegal	12	1	96
Senegal	Senegal	20	1	97
Senegal	Senegal	20	1	98
Senegal	Senegal	10	1	99
Senegal	Senegal	14	1	100
Senegal	Senegal	12	1	101
Senegal	Senegal	12	1	102
Senegal	Senegal	14	1	103
Senegal	Senegal	18	1	104
Senegal	Senegal	18	1	105
Senegal	Senegal	16	1	106
Senegal	Senegal	10	1	107
Senegal	Senegal	16	1	108
Senegal	Senegal	16	1	109
Senegal	Senegal	20	1	110
Senegal	Senegal	18	1	111
Senegal	Senegal	14	1	112
Senegal	Senegal	10	1	113
Senegal	Senegal	18	1	114
Senegal	Senegal	14	1	115
Senegal	Senegal	14	1	116
Senegal	Senegal	16	1	117
Senegal	Senegal	18	1	118
Senegal	Senegal	10	1	119
Senegal	Senegal	14	1	120
Senegal	Senegal	12	1	121
Senegal	Senegal	8	1	122
Senegal	Senegal	20	1	123
Senegal	Senegal	18	1	124
Senegal	Senegal	4	1	125
Senegal	Senegal	14	1	126
Senegal	Senegal	14	1	127
Senegal	Senegal	18	1	128
Senegal	Senegal	14	1	129
Senegal	Senegal	14	1	130
Senegal	Senegal	18	1	131
Senegal	Senegal	8	1	132
Senegal	Senegal	10	1	133
Senegal	Senegal	14	1	134
Senegal	Senegal	12	1	135
Senegal	Senegal	18	1	136
Senegal	Senegal	18	1	137
Senegal	Senegal	18	1	138
Senegal	Senegal	16	1	139
Senegal	Senegal	12	1	140
Senegal	Senegal	16	1	141
Senegal	Senegal	10	1	142
Senegal	Senegal	8	1	143
Senegal	Senegal	8	1	144
Senegal	Senegal	12	1	145
Senegal	Senegal	10	1	146
Senegal	Senegal	18	1	147
Senegal	Senegal	12	1	148
Senegal	Senegal	14	1	149
Senegal	Senegal	10	1	150
Senegal	Senegal	12	1	151
Senegal	Senegal	18	1	152
Senegal	Senegal	12	1	153
Senegal	Senegal	12	1	154
Senegal	Senegal	20	1	155
Senegal	Senegal	16	1	156
Senegal	Senegal	14	1	157
Senegal	Senegal	16	1	158
Senegal	Senegal	10	1	159
Senegal	Senegal	4	1	160
Senegal	Senegal	16	1	161
Senegal	Senegal	14	1	162
Senegal	Senegal	10	1	163
Senegal	Senegal	14	1	164
Senegal	Senegal	18	1	165
Senegal	Senegal	12	1	166
Senegal	Senegal	20	1	167
Senegal	Senegal	12	1	168
Senegal	Senegal	14	1	169
Senegal	Senegal	16	1	170
Senegal	Senegal	10	1	171
Senegal	Senegal	8	1	172
Senegal	Senegal	6	1	173
Senegal	Senegal	8	1	174
Senegal	Senegal	8	1	175
Senegal	Senegal	10	1	176
Senegal	Senegal	12	1	177
Senegal	Senegal	12	1	178
Senegal	Senegal	18	1	179
Senegal	Senegal	14	1	180
Senegal	Senegal	6	1	181
Senegal	Senegal	8	1	182
Senegal	Senegal	16	1	183
Senegal	Senegal	4	1	184
Senegal	Senegal	18	1	185
Senegal	Senegal	14	1	186
Senegal	Senegal	20	1	187
Senegal	Senegal	18	1	188
Senegal	Senegal	10	1	189
Senegal	Senegal	12	1	190
Senegal	Senegal	14	1	191
Senegal	Senegal	14	1	192
Senegal	Senegal	8	1	193
Senegal	Senegal	12	1	194
Senegal	Senegal	12	1	195
Senegal	Senegal	20	1	196
Senegal	Senegal	10	1	197
Senegal	Senegal	14	1	198
Senegal	Senegal	14	1	199
Senegal	Senegal	18	1	200
Senegal	Senegal	10	1	201
Senegal	Senegal	8	1	202
Senegal	Senegal	16	1	203
Senegal	Senegal	10	1	204
Senegal	Senegal	8	1	205
Senegal	Senegal	16	1	206
Senegal	Senegal	14	1	207
Senegal	Senegal	10	1	208
Senegal	Senegal	10	1	209
Senegal	Senegal	14	1	210
Senegal	Senegal	12	1	211
Senegal	Senegal	4	1	212
Senegal	Senegal	18	1	213
Senegal	Senegal	10	1	214
Senegal	Senegal	12	1	215
Senegal	Senegal	8	1	216
Senegal	Senegal	14	1	217
Senegal	Senegal	16	1	218
Senegal	Senegal	10	1	219
Senegal	Senegal	6	1	220
Senegal	Senegal	14	1	221
Senegal	Senegal	8	1	222
Senegal	Senegal	8	1	223
Senegal	Senegal	12	1	224
Senegal	Senegal	14	1	225
Senegal	Senegal	16	1	226
Senegal	Senegal	12	1	227
Senegal	Senegal	18	1	228
Senegal	Senegal	18	1	229
Senegal	Senegal	10	1	230
Senegal	Senegal	14	1	231
Senegal	Senegal	10	1	232
Senegal	Senegal	8	1	233
Senegal	Senegal	16	1	234
Senegal	Senegal	16	1	235
Senegal	Senegal	10	1	236
Senegal	Senegal	10	1	237
Senegal	Senegal	16	1	238
Senegal	Senegal	10	1	239
Senegal	Senegal	14	1	240
Senegal	Senegal	14	1	241
Senegal	Senegal	14	1	242
Senegal	Senegal	12	1	243
Senegal	Senegal	10	1	244
Senegal	Senegal	14	1	245
Senegal	Senegal	14	1	246
Senegal	Senegal	10	1	247
Senegal	Senegal	16	1	248
Senegal	Senegal	12	1	249
Senegal	Senegal	8	1	250
Senegal	Senegal	12	1	251
Senegal	Senegal	6	1	252
Senegal	Senegal	20	1	253
Senegal	Senegal	12	1	254
Senegal	Senegal	20	1	255
Senegal	Senegal	12	1	256
Senegal	Senegal	14	1	257
Senegal	Senegal	8	1	258
Senegal	Senegal	6	1	259
Senegal	Senegal	20	1	260
Senegal	Senegal	14	1	261
Senegal	Senegal	12	1	262
Senegal	Senegal	16	1	263
Senegal	Senegal	14	1	264
Senegal	Senegal	8	1	265
Senegal	Senegal	14	1	266
Senegal	Senegal	12	1	267
Senegal	Senegal	16	1	268
Senegal	Senegal	6	1	269
Senegal	Senegal	18	1	270
Senegal	Senegal	10	1	271
Senegal	Senegal	10	1	272
Senegal	Senegal	12	1	273
Senegal	Senegal	20	1	274
Senegal	Senegal	12	1	275
Senegal	Senegal	10	1	276
Senegal	Senegal	14	1	277
Senegal	Senegal	12	1	278
Senegal	Senegal	18	1	279
Senegal	Senegal	12	1	280
Senegal	Senegal	12	1	281
Senegal	Senegal	14	1	282
Senegal	Senegal	10	1	283
Senegal	Senegal	12	1	284
Senegal	Senegal	12	1	285
Senegal	Senegal	8	1	286
Senegal	Senegal	20	1	287
Senegal	Senegal	14	1	288
Senegal	Senegal	16	1	289
Senegal	Senegal	12	1	290
Senegal	Senegal	10	1	291
Senegal	Senegal	18	1	292
Senegal	Senegal	12	1	293
Senegal	Senegal	12	1	294
Senegal	Senegal	10	1	295
Senegal	Senegal	16	1	296
Senegal	Senegal	12	1	297
Senegal	Senegal	18	1	298
Senegal	Senegal	14	1	299
Senegal	Senegal	16	1	300
Senegal	Senegal	14	1	301
Senegal	Senegal	14	1	302
Senegal	Senegal	10	1	303
Senegal	Senegal	14	1	304
Senegal	Senegal	6	1	305
Senegal	Senegal	20	1	306
Senegal	Senegal	10	1	307
Senegal	Senegal	8	1	308
Senegal	Senegal	16	1	309
Senegal	Senegal	12	1	310
Senegal	Senegal	10	1	311
Senegal	Senegal	14	1	312
Senegal	Senegal	12	1	313
Senegal	Senegal	4	1	314
Senegal	Senegal	10	1	315
Senegal	Senegal	12	1	316
Senegal	Senegal	12	1	317
Senegal	Senegal	18	1	318
Senegal	Senegal	12	1	319
Senegal	Senegal	16	1	320
Senegal	Senegal	16	1	321
Senegal	Senegal	8	1	322
Senegal	Senegal	16	1	323
Senegal	Senegal	12	1	324
Senegal	Senegal	16	1	325
Senegal	Senegal	18	1	326
Senegal	Senegal	12	1	327
Senegal	Senegal	14	1	328
Senegal	Senegal	16	1	329
Senegal	Senegal	12	1	330
Senegal	Senegal	10	1	331
Senegal	Senegal	10	1	332
Senegal	Senegal	18	1	333
Senegal	Senegal	10	1	334
Senegal	Senegal	12	1	335
Senegal	Senegal	8	1	336
Senegal	Senegal	20	1	337
Senegal	Senegal	16	1	338
Senegal	Senegal	12	1	339
Senegal	Senegal	18	1	340
Senegal	Senegal	16	1	341
Senegal	Senegal	8	1	342
Senegal	Senegal	8	1	343
Senegal	Senegal	12	1	344
Senegal	Senegal	14	1	345
Senegal	Senegal	10	1	346
Senegal	Senegal	14	1	347
Senegal	Senegal	8	1	348
Senegal	Senegal	16	1	349
Senegal	Senegal	14	1	350
Senegal	Senegal	14	1	351
Senegal	Senegal	16	1	352
Senegal	Senegal	14	1	353
Senegal	Senegal	12	1	354
Senegal	Senegal	12	1	355
Senegal	Senegal	14	1	356
Senegal	Senegal	6	1	357
Senegal	Senegal	12	1	358
Senegal	Senegal	14	1	359
Senegal	Senegal	8	1	360
Senegal	Senegal	14	1	361
Senegal	Senegal	14	1	362
Senegal	Senegal	10	1	363
Senegal	Senegal	10	1	364
Senegal	Senegal	18	1	365
Senegal	Senegal	12	1	366
Senegal	Senegal	16	1	367
Senegal	Senegal	12	1	368
Senegal	Senegal	16	1	369
Senegal	Senegal	8	1	370
Senegal	Senegal	8	1	371
Senegal	Senegal	14	1	372
Senegal	Senegal	10	1	373
Senegal	Senegal	14	1	374
Senegal	Senegal	14	1	375
Senegal	Senegal	16	1	376
Senegal	Senegal	12	1	377
Senegal	Senegal	8	1	378
Senegal	Senegal	14	1	379
Senegal	Senegal	18	1	380
Senegal	Senegal	14	1	381
Senegal	Senegal	18	1	382
Senegal	Senegal	12	1	383
Senegal	Senegal	14	1	384
Senegal	Senegal	6	1	385
Senegal	Senegal	14	1	386
Senegal	Senegal	10	1	387
Senegal	Senegal	14	1	388
Senegal	Senegal	12	1	389
Senegal	Senegal	10	1	390
Senegal	Senegal	18	1	391
Senegal	Senegal	20	1	392
Senegal	Senegal	20	1	393
Senegal	Senegal	14	1	394
Senegal	Senegal	18	1	395
Senegal	Senegal	12	1	396
Senegal	Senegal	16	1	397
Senegal	Senegal	12	1	398
Senegal	Senegal	16	1	399
Senegal	Senegal	16	1	400
Senegal	Senegal	18	1	401
Senegal	Senegal	14	1	402
Senegal	Senegal	14	1	403
Senegal	Senegal	4	1	404
Senegal	Senegal	10	1	405
Senegal	Senegal	14	1	406
Senegal	Senegal	12	1	407
Senegal	Senegal	10	1	408
Senegal	Senegal	20	1	409
Senegal	Senegal	14	1	410
Senegal	Senegal	20	1	411
Senegal	Senegal	8	1	412
Senegal	Senegal	18	1	413
Senegal	Senegal	12	1	414
Senegal	Senegal	16	1	415
Senegal	Senegal	12	1	416
Senegal	Senegal	10	1	417
Senegal	Senegal	16	1	418
Senegal	Senegal	10	1	419
Senegal	Senegal	6	1	420
Senegal	Senegal	14	1	421
Senegal	Senegal	6	1	422
Senegal	Senegal	12	1	423
Senegal	Senegal	12	1	424
Senegal	Senegal	14	1	425
Senegal	Senegal	12	1	426
Senegal	Senegal	16	1	427
Senegal	Senegal	12	1	428
Senegal	Senegal	16	1	429
Senegal	Senegal	16	1	430
Senegal	Senegal	14	1	431
Senegal	Senegal	10	1	432
Senegal	Senegal	10	1	433
Senegal	Senegal	12	1	434
Senegal	Senegal	14	1	435
Senegal	Senegal	12	1	436
Senegal	Senegal	12	1	437
Senegal	Senegal	16	1	438
Senegal	Senegal	16	1	439
Senegal	Senegal	8	1	440
Senegal	Senegal	6	1	441
Senegal	Senegal	16	1	442
Senegal	Senegal	6	1	443
Senegal	Senegal	14	1	444
Senegal	Senegal	12	1	445
Senegal	Senegal	16	1	446
Senegal	Senegal	16	1	447
Senegal	Senegal	10	1	448
Senegal	Senegal	8	1	449
Senegal	Senegal	10	1	450
Senegal	Senegal	14	1	451
Senegal	Senegal	10	1	452
Senegal	Senegal	14	1	453
Senegal	Senegal	12	1	454
Senegal	Senegal	18	1	455
Senegal	Senegal	12	1	456
Senegal	Senegal	8	1	457
Senegal	Senegal	10	1	458
Senegal	Senegal	8	1	459
Senegal	Senegal	16	1	460
Senegal	Senegal	6	1	461
Senegal	Senegal	16	1	462
Senegal	Senegal	8	1	463
Senegal	Senegal	14	1	464
Senegal	Senegal	14	1	465
Senegal	Senegal	14	1	466
Senegal	Senegal	12	1	467
Senegal	Senegal	12	1	468
Senegal	Senegal	12	1	469
Senegal	Senegal	12	1	470
Senegal	Senegal	20	1	471
Senegal	Senegal	14	1	472
Senegal	Senegal	12	1	473
Senegal	Senegal	14	1	474
Senegal	Senegal	10	1	475
Senegal	Senegal	20	1	476
Senegal	Senegal	10	1	477
Senegal	Senegal	16	1	478
Senegal	Senegal	10	1	479
Senegal	Senegal	12	1	480
Senegal	Senegal	14	1	481
Senegal	Senegal	6	1	482
Senegal	Senegal	18	1	483
Senegal	Senegal	14	1	484
Senegal	Senegal	10	1	485
Senegal	Senegal	14	1	486
Senegal	Senegal	10	1	487
Senegal	Senegal	8	1	488
Senegal	Senegal	10	1	489
Senegal	Senegal	14	1	490
Senegal	Senegal	12	1	491
Senegal	Senegal	16	1	492
Senegal	Senegal	18	1	493
Senegal	Senegal	12	1	494
Senegal	Senegal	14	1	495
Senegal	Senegal	8	1	496
Senegal	Senegal	12	1	497
Senegal	Senegal	12	1	498
Senegal	Senegal	16	1	499
Senegal	Senegal	20	1	500
Senegal	Senegal	10	1	501
